,0
0,0
1,54
2,14
3,312
4,45
5,45
6,221
7,11
8,212
9,191
10,5
11,51
12,7
13,0
14,36
15,42
16,212
17,8
18,13
19,0
20,8
21,8
22,35
23,16
24,1
25,94
26,7
27,0
28,7
29,16
30,1
31,4
32,100
33,1
34,1
35,172
36,8
37,3
38,1
39,9
40,74
41,11
42,254
43,5
44,113
45,134
46,0
47,1
48,278
49,3
50,26
51,9
52,3
53,1
54,2
55,233
56,0
57,59
58,0
59,1
60,97
61,370
62,59
63,1
64,149
65,175
66,10
67,218
68,28
69,2
70,2
71,21
72,1
73,1
74,2
75,185
76,78
77,0
78,0
79,0
80,0
81,165
82,9
83,237
84,9
85,16
86,1
87,12
88,2
89,1
90,0
91,6
92,123
93,62
94,31
95,0
96,2
97,0
98,56
99,271
100,4
101,1
102,0
103,0
104,1
105,120
106,0
107,0
108,18
109,5
110,18
111,0
112,8
113,128
114,10
115,5
116,0
117,1
118,8
119,0
120,190
121,175
122,1
123,1
124,2
125,7
126,129
127,1
128,0
129,23
130,18
131,1
132,74
133,21
134,1
135,56
136,339
137,7
138,9
139,18
140,167
141,73
142,0
143,32
144,71
145,11
146,24
147,0
148,140
149,0
150,7
151,127
152,51
153,2
154,11
155,116
156,276
157,1
158,0
159,81
160,112
161,0
162,0
163,7
164,2
165,186
166,280
167,16
168,0
169,1
170,86
171,4
172,19
173,5
174,7
175,20
176,7
177,32
178,9
179,0
180,45
181,5
182,195
183,1
184,84
185,220
186,8
187,11
188,3
189,1
190,0
191,4
192,4
